"manual_extraction","automatic_extraction","cosine_similarity"
"Abbasalipourkabir R et al 2015.pdf.rds","segmenteR_Abbasalipourkabir R et al 2015.pdf.rds","0.999994540538458"
"Abe, S et al 2012.pdf.rds","segmenteR_Abe, S et al 2012.pdf.rds","1"
"Adedara, I A et al 2018.pdf.rds","segmenteR_Adedara, I A et al 2018.pdf.rds","0.999862534072248"
"Aijie, C et al 2017.pdf.rds","segmenteR_Aijie, C et al 2017.pdf.rds","1.00000000000001"
"Amrollahi-Sharifabadi et al. 2018.pdf.rds","segmenteR_Amrollahi-Sharifabadi et al. 2018.pdf.rds","1.00000000000001"
"Ansari, M 2018.pdf.rds","segmenteR_Ansari, M 2018.pdf.rds","0.999960418291695"
"Aragao-Santiago, L 2016.pdf.rds","segmenteR_Aragao-Santiago, L 2016.pdf.rds","0.994714350875484"
"AshaRani et al. 2009.pdf.rds","segmenteR_AshaRani et al. 2009.pdf.rds","0.999956878313193"
"Bai, K J et al 2018.pdf.rds","segmenteR_Bai, K J et al 2018.pdf.rds","1"
"Bendre, V et al 2011.pdf.rds","segmenteR_Bendre, V et al 2011.pdf.rds","0"
"Blum, J L et al 2014.pdf.rds","segmenteR_Blum, J L et al 2014.pdf.rds","1"
"Cabral, H et al 2005.pdf.rds","segmenteR_Cabral, H et al 2005.pdf.rds","0.999917856649757"
"Chen et al 2008.pdf.rds","segmenteR_Chen et al 2008.pdf.rds","1"
"Jamshidzadeh, A et al 2015.pdf.rds","segmenteR_Jamshidzadeh, A et al 2015.pdf.rds","0.995753754683567"
"Li, C et al 2009.pdf.rds","segmenteR_Li, C et al 2009.pdf.rds","1"
"Li, J et al 2013.pdf.rds","segmenteR_Li, J et al 2013.pdf.rds","0.999968502871919"
"Li, J G et al 2009.pdf.rds","segmenteR_Li, J G et al 2009.pdf.rds","0.999983166205566"
"Li, Y et al 2010.pdf.rds","segmenteR_Li, Y et al 2010.pdf.rds","0.998074541111967"
"Liu, Y et al 2014.pdf.rds","segmenteR_Liu, Y et al 2014.pdf.rds","0.999810348758169"
"Love, S A et al 2012.pdf.rds","segmenteR_Love, S A et al 2012.pdf.rds","0.999458706078455"
"Maurizi, L et al 2015.pdf.rds","segmenteR_Maurizi, L et al 2015.pdf.rds","0.999999999999996"
"Nešković, O et al 2013.pdf.rds","segmenteR_Nešković, O et al 2013.pdf.rds","0.999071650085047"
"Neun, B W et al 2018.pdf.rds","segmenteR_Neun, B W et al 2018.pdf.rds","0.99177293738389"
"Reddy, A et al 2010.pdf.rds","segmenteR_Reddy, A et al 2010.pdf.rds","0.999876206235163"
"Richter, AW et al 1983.pdf.rds","segmenteR_Richter, AW et al 1983.pdf.rds","0"
"Sadaf, A et al 2012.pdf.rds","segmenteR_Sadaf, A et al 2012.pdf.rds","0.99713598196992"
"Tang, J et al 2009.pdf.rds","segmenteR_Tang, J et al 2009.pdf.rds","0.995735653018931"
"Vicente, S et al 2017.pdf.rds","segmenteR_Vicente, S et al 2017.pdf.rds","0.719379601414012"
"Wang, X et al 2010.pdf.rds","segmenteR_Wang, X et al 2010.pdf.rds","0.99994746751755"
"Xiaoli, F et al 2017.pdf.rds","segmenteR_Xiaoli, F et al 2017.pdf.rds","0.73411296323334"
"Yan, M et al 2011.pdf.rds","segmenteR_Yan, M et al 2011.pdf.rds","0.999882247434263"
"Yu, T et al 2011.pdf.rds","segmenteR_Yu, T et al 2011.pdf.rds","0.946030328634252"
"Zook, J M et al 2011.pdf.rds","segmenteR_Zook, J M et al 2011.pdf.rds","0.999999999999998"
